https://fns-prod.azureedge.net/sites/default/files/snap/SNAP-Staple-Foods.pdf,,,https://fdc.nal.usda.gov/,,,,,
Food/Ingredients (dinner plate for low income w/ EBT constraint),FDC,FDC Brand,Quantity,Units,Price (Safeway),Price (Smart & Final Extra!),Price (FoodMaxx),Price (Minimum) 
Romaine Lettuce ,373763,Oceanmist,1,head ,2.79,1.39,1.89,1.39
Brussel Sprouts,535136,Archer Farms,1,pound ,3.99,2.49,2.98,2.49
Green Beans ,2101433,Signature Farms,1,pound ,2.99,1.99,1.99,1.99
Crimini Mushrooms ,533142,Harmons ,1,ounces,0.37,,0.23,0.23
Shredded Carrots ,1920473,Signature Farms,10,ounces,1.99,,1.59,1.59
Whole Wheat Bread ,2054042,Signature Select,1,pound,1.99,2.19,2.09,1.99
Spaghetti ,1858190,Dreamfields ,1,pound,1.59,1.59,0.99,0.99
Pasta Sauce,2032653,Signature Select,24,ounces,3.49,1.49,1.94,1.49
Seedless red or green grapes ,2092932,Sun World ,1,pound,3.99,2.99,2.98,2.98
Olives ,2027030,Signature select,6,ounces,2.5,3.5,1.58,1.58
Chicken Breast ,2092152,Tyson Foods,1,pounds,5.99,4.99,5.49,4.99
Ground Beef (15% fat),1597053,Cargill,16,ounces,6.99,5.19,4.25,4.25
Russett Potatoes,2137716,Harvest Club,1,pound,0.49,0.89,3.98,0.49
Navel Oranges,1924053,Tomorrow's Organics,1,pound,1.25,0.99,1.59,0.99
Roma Tomatoes,1905746,Del Monte,1,pound,2.49,1.49,0.99,0.99
Fuji Apples,2123484,Harvest Club,1,pound,1.25,0.99,1.59,0.99
Bananas,2011468,Nutty and Fruity ,1,pound,0.89,0.65,0.59,0.59
Pineapples,2066900,Delish ,14,ounces,3.99,3.99,2.99,2.99
Turkey (ground),2033779,Kroger ,1,pound,4.99,4.99,5.29,4.99
Tuna (canned),458895,Safeway,5,ounces,1.29,0.89,0.98,0.89
Catfish (filet),2156678,Member's Mark,40,ounces,27.48,17.99,,17.99
Lamb (ground),2160222,Grass Fed,1,pound,4.59,9.99,,4.59
Pork (loin or ham),2097198,Prarie Fresh,1,pound,2.99,2.39,4.39,2.39
Eggs,577532,Safeway,12,eggs,3.49,3.79,2.95,2.95
Shredded Cheese,2188418,Dairy Farms,8,ounces,3.99,2.79,2.33,2.33
Whole Milk,2188175,Dairy Farms,64,floz,2.99,3.49,2.79,2.79
Almond milk,2101421,Winn-Dixie,64,floz,2.99,2.49,2.65,2.49
Butter,2115587,Value Corner,15,ounces,2.79,4.49,2.59,2.59
Sour Cream,1999010,Sintons,1,pound,2.29,2.19,1.99,1.99
"Yogurt (nonfat, plain)",1973078,Dairy Farms,32,ounces,2.99,3.19,2.79,2.79
Corn Tortillas,2189224,Signature Select,25,ounces,2.79,1.99,1.89,1.89
Plain Bagels,2126978,Signature Select,18,ounces,4.49,1.99,2.39,1.99
Pita,2176487,Kermanig,12,ounces,3.79,2.99,1.69,1.69
White Rice,2116789,Jasmati,32,ounces,2.29,1.99,1.59,1.59
